ticker,market,currency,price,day_chg,ytd_chg,ret_1m,ret_3m,ret_6m,ret_1y,high_52w,low_52w,from_ath,rsi,vol_ratio,ma5,ma10,ma20,ma50,ma200,score,name
6315.T,JP,JPY,2599.0,0.12,14.65,9.39,-12.64,23.92,106.86,3093.96,1256.42,-16.0,63.6,0.79,2606.6,2659.6,2526.7,2610.73,2269.82,22,6315.T
471A.T,JP,JPY,1689.0,-1.23,26.71,4.97,15.61,0.0,36.03,1760.0,1241.62,-4.03,52.5,0.77,1726.4,1718.7,1684.7,1651.0,0.0,22,471A.T
8005.T,JP,JPY,1322.0,0.38,-1.54,1.19,0.81,23.23,38.3,1362.24,955.87,-2.95,41.1,0.77,1333.0,1333.4,1336.2,1323.58,1192.95,22,8005.T
2980.T,JP,JPY,3250.0,-3.85,0.17,13.48,7.93,10.52,-3.95,3880.61,2434.7,-16.25,47.8,0.82,3470.0,3516.5,3351.85,2977.0,3082.99,22,2980.T
3593.T,JP,JPY,6660.0,0.0,-0.45,0.0,-0.45,26.14,54.51,6770.0,3622.56,-1.62,50.0,0.04,6660.0,6659.0,6653.5,6670.6,5798.42,22,3593.T
4765.T,JP,JPY,592.0,-1.66,-0.84,0.98,-5.33,4.46,-4.58,641.61,561.82,-7.73,56.8,3.2,599.8,597.5,591.4,590.24,597.4,22,4765.T
4809.T,JP,JPY,2048.0,0.0,1.99,-2.48,0.49,3.02,13.2,2111.0,1748.33,-2.98,42.0,0.87,2064.8,2079.3,2075.4,2053.62,1980.26,22,4809.T
4676.T,JP,JPY,4059.0,2.27,9.15,-0.27,5.42,27.8,42.29,4386.0,2684.56,-7.46,40.8,0.5,4001.0,4024.6,4108.85,3799.08,3528.42,22,4676.T
6013.T,JP,JPY,2801.0,0.94,14.46,2.0,10.55,26.83,59.9,2997.6,1751.69,-6.56,53.9,0.9,2795.4,2801.7,2790.5,2820.57,2417.97,21,6013.T
2930.T,JP,JPY,131.0,-1.5,-5.17,5.65,-7.81,-4.49,-4.08,149.99,122.0,-12.66,58.1,0.85,135.6,131.2,127.85,128.89,137.28,21,2930.T
2127.T,JP,JPY,668.7000122070312,-2.09,-5.65,5.16,-5.91,-2.39,20.69,784.1,552.25,-14.72,58.3,1.39,682.62,679.28,664.24,657.62,699.94,21,2127.T
HBAN,US,USD,16.399999618530273,-2.55,-5.22,6.29,-4.46,5.38,18.27,19.08,13.87,-14.03,58.8,0.69,16.82,16.74,16.3,16.27,16.55,21,HBAN
5121.T,JP,JPY,2494.0,0.97,24.43,3.36,13.83,29.84,95.29,2701.85,1277.06,-7.69,41.4,0.82,2484.8,2517.7,2525.15,2525.97,2023.37,21,5121.T
4044.T,JP,JPY,4030.0,-0.37,18.08,0.25,10.18,27.41,44.79,4318.68,2682.06,-6.68,44.7,0.82,4114.0,4201.0,4166.5,4109.06,3463.73,21,4044.T
1945.T,JP,JPY,1821.0,4.66,-1.76,2.3,-4.49,6.47,68.5,1999.68,1061.39,-8.94,55.8,2.37,1758.8,1772.5,1780.25,1798.01,1720.59,21,1945.T
VTR,US,USD,83.62000274658203,0.83,8.83,1.81,10.33,21.03,26.05,87.44,60.78,-4.37,52.5,1.07,82.68,83.86,83.44,84.4,75.01,21,VTR
WMB,US,USD,72.18000030517578,0.74,19.47,-2.54,13.08,24.39,26.28,75.72,55.19,-4.67,47.3,0.65,71.25,71.2,71.99,72.8,62.85,21,WMB
6363.T,JP,JPY,3115.0,3.15,56.29,0.68,45.66,48.83,67.0,3485.0,1756.04,-10.62,25.0,0.46,3123.0,3208.5,3248.0,2862.79,2239.29,21,6363.T
5943.T,JP,JPY,2360.0,0.34,16.89,0.34,11.95,17.58,39.53,2526.0,1675.98,-6.57,48.8,0.9,2385.0,2389.8,2381.95,2377.52,2065.25,21,5943.T
AES,US,USD,14.489999771118164,-0.07,-1.07,3.43,0.28,4.56,52.43,17.28,9.27,-16.15,69.0,1.95,14.47,14.46,14.36,14.74,13.89,20,AES
CPAY,US,USD,312.9100036621094,-0.18,4.1,6.72,-3.42,10.01,-2.83,356.38,255.0,-12.2,59.6,0.46,324.87,325.07,310.39,316.3,309.24,20,CPAY
9247.T,JP,JPY,1650.0,-1.37,4.51,5.16,-2.8,8.07,10.66,1800.57,1274.96,-8.36,56.6,1.12,1684.6,1676.4,1644.35,1651.44,1548.01,20,9247.T
7322.T,JP,JPY,1529.0,-0.91,37.16,-1.29,20.69,67.91,181.82,1713.0,528.45,-10.74,50.0,0.57,1577.6,1629.2,1590.95,1534.26,1098.22,20,7322.T
6339.T,JP,JPY,982.0,-1.31,-6.93,5.03,-13.87,-7.62,26.52,1181.21,776.17,-16.86,69.4,1.49,979.0,972.7,957.85,1014.5,991.94,20,6339.T
4091.T,JP,JPY,5690.0,1.61,21.82,-2.67,22.29,16.32,26.04,6262.93,4502.66,-9.15,45.3,1.12,5704.0,5817.1,5806.3,5788.57,5289.11,20,4091.T
4099.T,JP,JPY,4675.0,2.19,71.5,0.75,49.6,98.87,172.54,5580.0,1715.34,-16.22,51.4,0.79,4625.0,4779.5,4730.0,4876.6,3136.27,20,4099.T
CF,US,USD,120.93000030517578,-3.71,51.72,-8.77,32.65,40.69,57.69,137.6,75.69,-12.11,41.3,0.57,121.25,120.51,124.93,116.73,92.9,20,CF
EL,US,USD,77.81999969482422,1.86,-26.88,11.57,-32.93,-21.24,33.12,119.24,56.8,-34.73,68.5,0.51,76.92,76.37,73.4,87.15,93.94,20,EL
5703.T,JP,JPY,2858.0,0.11,13.89,6.76,3.39,38.89,101.7,3111.08,1416.93,-8.13,49.1,0.71,2906.4,2960.8,2909.6,2874.04,2335.26,20,5703.T
8848.T,JP,JPY,673.0,-3.03,2.43,1.82,-1.44,4.81,18.55,774.69,522.37,-13.13,67.3,1.17,686.2,680.0,665.45,680.15,677.26,20,8848.T
SOLV,US,USD,68.5199966430664,-0.64,-13.29,5.89,-13.28,-5.19,3.71,86.14,62.49,-20.46,71.6,0.46,69.12,69.05,66.64,68.76,74.03,20,SOLV
6584.T,JP,JPY,731.0,-0.41,-14.55,7.03,-15.23,-17.84,26.6,946.6,560.97,-22.78,64.9,0.53,742.0,727.3,704.95,733.23,788.61,20,6584.T
7972.T,JP,JPY,3190.0,-1.39,32.2,-1.85,24.85,33.46,91.89,3680.0,1662.42,-13.32,41.3,0.91,3255.0,3335.5,3320.75,3318.58,2610.29,20,7972.T
6284.T,JP,JPY,8000.0,-0.37,27.39,4.03,21.77,16.79,84.4,9260.0,4338.47,-13.61,51.3,0.52,8146.0,8179.0,8011.5,8255.0,6974.2,20,6284.T
PNR,US,USD,91.75,1.4,-12.52,7.1,-14.8,-16.47,2.98,111.71,83.73,-17.87,68.7,1.42,90.45,90.13,88.6,91.9,102.06,20,PNR
FCX,US,USD,61.04999923706055,-0.7,18.11,9.59,0.02,48.77,65.35,70.36,35.05,-13.23,50.3,0.95,66.13,67.38,64.29,62.39,50.17,20,FCX
7383.T,JP,JPY,416.0,-1.19,-22.53,15.24,-22.68,-51.06,-8.17,940.0,333.0,-55.74,60.8,0.51,431.4,438.8,413.7,442.68,642.42,20,7383.T
7734.T,JP,JPY,3280.0,-0.15,4.47,5.3,-2.47,-7.9,29.01,3720.14,2542.35,-11.83,55.8,0.69,3331.0,3404.5,3272.45,3303.37,3233.81,20,7734.T
9434.T,JP,JPY,220.1999969482422,0.55,3.89,2.8,4.67,3.18,7.57,237.41,203.91,-7.25,54.9,0.76,220.7,220.82,217.7,212.94,214.63,19,9434.T
3107.T,JP,JPY,3134.0,0.87,1.83,4.09,2.51,11.97,37.4,3235.0,2272.76,-3.12,42.5,0.82,3115.0,3132.6,3142.9,3043.81,2928.75,19,3107.T
4958.T,JP,JPY,2865.0,0.6,4.38,2.61,0.22,6.12,4.98,3071.6,2625.97,-6.73,49.1,0.68,2864.8,2885.6,2886.0,2835.12,2822.3,19,4958.T
7956.T,JP,JPY,1693.5,-0.27,5.32,3.7,3.64,-3.6,4.89,1822.68,1532.09,-7.09,58.0,1.25,1691.8,1684.65,1672.42,1650.22,1666.18,19,7956.T
8395.T,JP,JPY,5050.0,0.4,24.74,3.38,9.01,62.99,144.26,5480.0,1998.29,-7.85,54.9,1.27,5128.0,5251.0,5124.0,4937.84,3705.99,19,8395.T
6718.T,JP,JPY,2787.0,-0.5,-3.53,1.31,-6.73,2.32,18.4,3026.97,2353.84,-7.93,40.6,0.73,2807.2,2824.9,2812.0,2786.75,2765.37,19,6718.T
7970.T,JP,JPY,2089.0,0.63,5.91,4.71,-1.05,10.27,51.11,2201.89,1382.44,-5.13,59.3,0.78,2121.6,2129.6,2075.15,2070.78,1920.68,19,7970.T
YUM,US,USD,160.27999877929688,-0.28,7.0,2.65,5.36,10.53,10.91,168.16,136.41,-4.69,58.3,0.83,160.45,160.95,159.03,160.18,150.88,19,YUM
COST,US,USD,1011.1500244140625,-0.32,18.49,3.22,3.57,7.63,4.05,1052.46,848.84,-3.92,47.2,0.78,1006.58,996.04,1002.07,996.8,948.14,19,COST
7198.T,JP,JPY,869.0,-0.11,-0.71,3.21,-2.67,9.83,16.08,923.07,703.77,-5.86,53.5,0.44,875.0,871.2,865.9,865.9,832.75,19,7198.T
8282.T,JP,JPY,1755.0,0.43,9.96,4.96,9.11,15.52,36.7,1865.0,1283.83,-5.9,41.2,0.92,1759.6,1772.3,1770.55,1689.8,1571.12,19,8282.T
4216.T,JP,JPY,5840.0,-1.35,13.27,2.1,4.45,29.13,60.86,6135.64,3630.53,-4.82,57.6,0.49,5924.0,5862.0,5788.5,5603.71,4839.87,19,4216.T
8892.T,JP,JPY,1136.0,0.62,-1.25,4.22,-2.78,14.04,11.05,1198.23,923.34,-5.19,59.2,1.07,1134.8,1134.3,1122.05,1095.96,1034.16,19,8892.T
9644.T,JP,JPY,716.0,0.0,-2.26,0.85,-3.16,8.8,-4.96,770.74,631.66,-7.1,45.9,0.75,712.0,713.4,716.05,712.32,705.28,19,9644.T
9729.T,JP,JPY,2616.0,-1.95,4.84,4.06,3.13,20.08,26.43,2840.0,2013.8,-7.89,48.8,0.71,2718.2,2746.8,2673.4,2568.05,2334.66,19,9729.T
8008.T,JP,JPY,1854.0,0.38,5.84,2.21,2.63,7.58,10.39,1918.0,1632.74,-3.34,51.0,0.99,1875.4,1884.8,1854.3,1830.07,1737.65,19,8008.T
2685.T,JP,JPY,3015.0,-2.11,7.58,1.45,7.09,13.49,9.99,3195.0,2566.05,-5.63,58.2,0.53,3116.0,3125.5,3067.0,2989.1,2883.38,19,2685.T
7164.T,JP,JPY,3228.0,-0.43,5.73,3.03,6.11,3.71,8.85,3402.95,2939.4,-5.14,57.5,0.93,3240.6,3231.7,3212.3,3142.77,3126.48,19,7164.T
8173.T,JP,JPY,2902.0,0.69,9.11,1.08,8.63,11.42,36.57,2999.0,2121.11,-3.23,43.7,1.15,2858.2,2871.7,2898.25,2816.16,2597.19,19,8173.T
7683.T,JP,JPY,1352.0,0.0,-1.72,-0.88,-4.07,1.28,5.13,1416.37,1259.32,-4.54,40.4,1.56,1358.2,1361.8,1362.35,1353.94,1338.8,19,7683.T
6923.T,JP,JPY,2986.5,-0.42,-2.09,4.92,-3.68,0.53,16.04,3241.92,2541.84,-7.88,54.5,0.78,3016.1,3005.95,2966.7,2975.8,2955.1,19,6923.T
8137.T,JP,JPY,3215.0,1.42,8.99,0.47,6.34,22.44,61.79,3415.95,1987.15,-5.88,57.6,1.23,3188.0,3182.5,3164.25,3198.66,2801.24,19,8137.T
3939.T,JP,JPY,537.0,-1.83,4.88,4.27,2.87,14.5,30.47,577.0,396.81,-6.93,57.0,0.74,557.4,552.1,536.6,529.4,497.49,19,3939.T
8609.T,JP,JPY,883.0,0.0,21.91,4.13,7.6,33.01,44.3,941.49,590.2,-6.21,51.2,0.74,888.6,896.2,883.75,865.68,728.8,19,8609.T
3543.T,JP,JPY,3030.0,-0.49,1.53,0.66,5.38,2.56,7.47,3187.1,2764.52,-4.93,42.9,0.5,3062.0,3080.0,3059.95,2974.76,2970.5,19,3543.T
8359.T,JP,JPY,2027.5,0.05,19.73,0.42,5.84,40.85,106.14,2137.65,972.92,-5.15,45.2,0.78,2036.3,2066.95,2057.62,1998.61,1638.55,19,8359.T
4403.T,JP,JPY,3148.0,0.9,6.08,-1.84,2.06,18.59,53.78,3318.0,2047.11,-5.12,40.8,0.62,3141.4,3155.4,3188.7,3067.14,2911.31,19,4403.T
4521.T,JP,JPY,4115.0,-1.2,4.83,-1.08,-0.38,13.39,6.57,4335.98,3500.07,-5.1,41.8,1.63,4104.0,4144.5,4168.25,4165.84,3854.99,19,4521.T
6282.T,JP,JPY,2517.0,-1.56,8.43,2.57,2.28,13.02,22.07,2695.0,1953.84,-6.6,53.7,0.5,2550.4,2575.2,2537.65,2497.96,2278.78,19,6282.T
FISV,US,USD,60.84000015258789,-1.15,-7.24,9.54,-9.4,-51.43,-65.73,191.0,53.9,-68.15,65.9,0.65,62.61,61.86,58.76,59.31,91.93,18,FISV
8366.T,JP,JPY,1869.0,-1.99,31.4,0.32,17.8,54.24,70.71,2106.0,1054.62,-11.25,47.6,0.49,1895.4,1989.4,1970.05,1795.55,1426.09,18,8366.T
TEL,US,USD,214.6699981689453,-1.41,-7.67,5.64,-4.51,-8.01,50.34,248.24,142.79,-13.52,53.2,1.34,228.86,233.23,223.25,218.29,218.92,18,TEL
MLM,US,USD,615.2999877929688,-0.58,-2.9,6.07,-5.48,-0.4,22.63,707.24,500.22,-13.0,57.0,0.45,617.33,619.97,610.16,620.66,618.77,18,MLM
CPT,US,USD,101.75,-0.66,-6.63,5.32,-4.77,-1.03,-7.1,116.12,95.56,-12.38,51.9,0.51,102.58,102.05,100.84,102.43,104.08,18,CPT
7747.T,JP,JPY,3355.0,1.15,13.04,0.0,19.82,40.35,54.56,3683.0,2158.3,-8.91,40.7,1.1,3357.2,3445.8,3469.8,3273.24,2769.72,18,7747.T
FFIV,US,USD,303.1600036621094,1.09,18.13,3.41,13.35,0.43,12.27,343.17,223.99,-11.66,46.9,1.28,308.76,305.51,300.55,289.33,287.66,18,FFIV
ISRG,US,USD,482.2200012207031,0.71,-14.19,2.92,-8.81,-12.53,-6.29,592.85,429.59,-18.66,62.5,1.21,472.31,468.34,461.98,478.01,501.52,18,ISRG
9449.T,JP,JPY,3153.0,-0.47,-19.17,10.11,-22.15,-8.02,-5.78,4100.0,2758.0,-23.1,58.3,0.82,3225.4,3174.5,3073.7,2986.08,3549.83,18,9449.T
6324.T,JP,JPY,4195.0,-1.76,9.51,3.45,14.74,31.42,37.27,4695.0,2313.64,-10.65,58.5,0.43,4371.0,4356.5,4074.0,4118.86,3303.83,18,6324.T
8522.T,JP,JPY,5690.0,-0.18,31.96,-8.52,13.94,62.0,140.83,6220.0,2265.98,-8.52,44.3,0.49,5742.0,5798.0,5823.0,5577.14,4188.69,18,8522.T
6965.T,JP,JPY,1921.5,0.42,13.65,0.0,10.48,16.34,56.61,2122.02,1226.9,-9.45,58.0,0.72,1935.4,1936.15,1902.5,1915.73,1722.93,18,6965.T
WSM,US,USD,190.5500030517578,-0.96,2.16,5.95,-6.53,2.06,27.88,219.79,149.01,-13.31,59.3,0.6,196.91,195.19,188.51,191.86,191.71,18,WSM
75505.T,JP,JPY,4993.0,-0.08,1.18,0.25,1.22,0.0,-7.41,5392.46,4917.92,-7.41,41.6,0.51,4981.6,4981.8,4998.21,4973.59,0.0,17,75505.T
PPG,US,USD,109.80000305175781,-0.44,5.83,4.26,-1.97,7.49,9.87,130.81,93.68,-16.06,60.5,0.71,111.48,111.29,108.69,111.55,107.16,17,PPG
IR,US,USD,83.80999755859375,-1.34,5.1,2.97,-3.41,4.34,11.88,98.74,73.54,-15.12,60.2,0.68,84.66,85.21,83.09,86.64,82.93,17,IR
XEL,US,USD,79.1500015258789,-0.42,6.77,1.57,5.29,-0.07,18.34,83.29,64.17,-4.98,45.4,0.83,79.23,79.72,80.09,80.47,76.15,16,XEL
3109.T,JP,JPY,1075.0,0.47,5.05,-0.65,1.09,10.87,17.04,1138.69,904.17,-5.59,50.0,0.93,1087.6,1087.5,1080.95,1085.08,1015.83,16,3109.T
KO,US,USD,76.62999725341797,0.46,11.63,2.6,6.34,11.09,9.65,81.0,64.77,-5.4,47.1,0.89,75.54,75.63,76.16,77.06,70.97,16,KO
D,US,USD,62.58000183105469,0.1,6.76,2.76,4.99,5.41,23.66,65.81,50.61,-4.91,52.1,0.58,61.87,62.33,62.46,62.66,59.77,16,D
8566.T,JP,JPY,6030.0,-0.33,4.18,0.75,1.25,5.62,12.44,6309.84,4877.99,-4.44,55.7,0.65,6056.0,6115.0,6037.0,6033.17,5715.92,16,8566.T
8425.T,JP,JPY,1412.0,0.36,1.85,0.64,-1.77,12.1,41.78,1515.0,995.94,-6.8,50.0,0.74,1413.0,1429.8,1423.8,1433.15,1306.39,16,8425.T
8424.T,JP,JPY,4279.0,0.26,0.3,-1.04,-2.28,-0.06,11.64,4562.64,3659.18,-6.22,41.4,0.71,4276.0,4301.5,4323.05,4365.08,4194.38,16,8424.T
7278.T,JP,JPY,5620.0,-1.75,1.2,-1.06,-2.56,9.46,40.56,6040.48,3827.72,-6.96,48.8,1.08,5678.0,5617.0,5627.0,5696.6,5216.35,16,7278.T
6306.T,JP,JPY,799.0,-0.12,1.03,1.91,-0.2,5.6,24.31,866.22,642.73,-7.76,57.4,0.99,802.4,800.8,795.4,804.89,768.11,16,6306.T
CNP,US,USD,42.470001220703125,-1.64,10.26,0.33,8.33,8.44,13.78,44.14,34.97,-3.78,40.8,0.96,42.54,42.7,43.05,42.98,39.44,16,CNP
2410.T,JP,JPY,2448.0,-0.2,1.16,-0.33,-3.2,11.83,45.01,2569.0,1685.26,-4.71,46.0,0.73,2455.0,2449.0,2452.7,2461.86,2282.0,16,2410.T
SNA,US,USD,378.4200134277344,-3.16,8.51,4.54,2.89,10.67,25.9,390.75,299.62,-3.16,57.3,1.21,384.4,379.67,374.26,374.53,346.49,16,SNA
HIG,US,USD,134.4499969482422,-3.7,-1.52,-0.33,3.28,8.28,15.11,142.92,116.8,-5.93,45.4,1.88,138.05,138.5,137.33,137.65,132.08,16,HIG
DGX,US,USD,196.27000427246094,-1.63,13.95,-0.52,8.0,8.08,14.99,210.99,164.21,-6.98,46.6,0.84,200.23,196.61,196.51,199.65,184.28,16,DGX
6272.T,JP,JPY,1492.0,0.07,2.53,1.63,-1.4,4.79,35.14,1610.38,1104.01,-7.35,44.5,0.85,1507.2,1512.8,1507.35,1511.86,1417.18,16,6272.T
4917.T,JP,JPY,3085.0,0.0,11.61,0.0,-2.06,35.54,127.01,3225.0,1295.0,-4.34,50.0,0.2,3085.0,3085.0,3083.5,3090.2,2419.24,16,4917.T
8439.T,JP,JPY,2098.0,0.12,4.21,3.27,-1.45,16.55,46.59,2274.69,1425.42,-7.77,56.7,0.98,2114.6,2113.1,2087.78,2108.96,1928.36,16,8439.T
7337.T,JP,JPY,1791.5,-0.8,14.12,0.06,5.53,30.46,63.88,1945.81,1091.75,-7.93,44.8,0.75,1824.0,1868.0,1848.15,1830.23,1532.48,16,7337.T
6345.T,JP,JPY,1346.0,-0.74,0.42,2.75,-1.44,1.24,10.16,1456.0,1221.83,-7.55,51.2,0.83,1377.6,1393.1,1369.8,1363.03,1319.18,16,6345.T
9381.T,JP,JPY,2189.0,-0.45,1.97,-1.31,-2.12,9.01,32.93,2292.0,1631.48,-4.49,42.2,0.73,2216.2,2231.5,2229.2,2227.46,2055.62,16,9381.T
7414.T,JP,JPY,1382.0,0.44,-0.6,-1.43,-1.97,0.75,-1.98,1470.92,1305.41,-6.05,44.7,1.16,1387.6,1395.1,1398.9,1406.69,1375.91,16,7414.T
8174.T,JP,JPY,2882.5,-0.47,-1.94,-2.9,-1.79,5.43,17.34,3099.23,2424.61,-6.99,45.2,0.93,2900.3,2896.1,2905.35,2958.25,2837.14,16,8174.T
8194.T,JP,JPY,2566.0,-1.53,1.54,1.91,-1.69,6.18,29.69,2760.36,1977.6,-7.04,41.3,1.04,2647.2,2666.1,2634.95,2606.46,2488.88,16,8194.T
EVRG,US,USD,81.2300033569336,-0.81,12.09,1.03,6.95,6.14,24.18,84.41,61.73,-3.77,43.6,0.89,80.96,81.51,82.07,81.71,75.15,16,EVRG
2676.T,JP,JPY,2011.0,0.75,-1.89,-2.35,-2.35,4.89,4.07,2139.61,1847.58,-6.01,50.8,0.99,2014.0,2023.3,2024.4,2037.07,1977.65,16,2676.T
8934.T,JP,JPY,2643.0,-1.64,12.07,-0.75,6.67,15.7,40.73,2855.0,1871.21,-7.43,43.8,0.86,2709.8,2763.3,2735.15,2670.82,2368.46,16,8934.T
5444.T,JP,JPY,12045.0,0.46,11.8,-1.31,3.75,29.52,51.1,12795.33,7965.6,-5.86,53.0,0.93,12023.0,12051.0,12089.5,12108.72,10337.62,16,5444.T
5957.T,JP,JPY,764.0,-0.13,7.15,-3.41,3.24,21.41,35.59,811.0,532.6,-5.8,40.5,0.68,767.2,768.9,770.3,774.2,685.29,16,5957.T
TJX,US,USD,157.02999877929688,-0.83,2.07,-0.34,4.93,10.9,25.59,165.0,120.28,-4.83,41.4,0.63,158.56,159.08,159.62,158.32,146.66,16,TJX
